"DateTime,""Players"",""Flags"",""Twitch Viewers"""
2017-06-29 00:00:00,538041,,158136
2017-06-30 00:00:00,521360,,158688
2017-07-01 00:00:00,518499,,147570
2017-07-02 00:00:00,540849,,219078
2017-07-03 00:00:00,556759,,57105
2017-07-04 00:00:00,551362,,320269
2017-07-05 00:00:00,566198,,203833
2017-07-06 00:00:00,544039,,245348
2017-07-07 00:00:00,530554,,274192
2017-07-08 00:00:00,517999,,372741
2017-07-09 00:00:00,573327,,480525
2017-07-10 00:00:00,571169,,37660
2017-07-11 00:00:00,551483,,64879
2017-07-12 00:00:00,551601,,33096
2017-07-13 00:00:00,539155,,87823
2017-07-14 00:00:00,512567,,74728
2017-07-15 00:00:00,502054,,125771
2017-07-16 00:00:00,614018,,599177
2017-07-17 00:00:00,591459,,621978
2017-07-18 00:00:00,599439,,652585
2017-07-19 00:00:00,606490,,612535
2017-07-20 00:00:00,565060,,41851
2017-07-21 00:00:00,595802,,684158
2017-07-22 00:00:00,560747,,735236
2017-07-23 00:00:00,640277,,947515
2017-07-24 00:00:00,586487,,57479
2017-07-25 00:00:00,590525,,74389
2017-07-26 00:00:00,585696,,70800
2017-07-27 00:00:00,576007,,73423
2017-07-28 00:00:00,549724,,54484
2017-07-29 00:00:00,537230,,57200
2017-07-30 00:00:00,571197,,69004
2017-07-31 00:00:00,563326,,66832
2017-08-01 00:00:00,551086,,50896
2017-08-02 00:00:00,544959,,45202
2017-08-03 00:00:00,546773,,48725
2017-08-04 00:00:00,533354,,28876
2017-08-05 00:00:00,526712,,26831
2017-08-06 00:00:00,570353,,32295
2017-08-07 00:00:00,543468,,29545
2017-08-08 00:00:00,524971,,35547
2017-08-09 00:00:00,537376,,61003
2017-08-10 00:00:00,520173,,36190
2017-08-11 00:00:00,502368,,35283
2017-08-12 00:00:00,517703,,38635
2017-08-13 00:00:00,545419,,36945
2017-08-14 00:00:00,526566,,42017
2017-08-15 00:00:00,532716,,53313
2017-08-16 00:00:00,539318,,46240
2017-08-17 00:00:00,530770,,64800
2017-08-18 00:00:00,522758,,52138
2017-08-19 00:00:00,542314,,106784
2017-08-20 00:00:00,578435,,89942
