DateTime,Players
7/19/2017 0:00,47328
7/20/2017 0:00,44865
7/21/2017 0:00,45400
7/22/2017 0:00,44982
7/23/2017 0:00,45683
7/24/2017 0:00,46943
7/25/2017 0:00,44500
7/26/2017 0:00,43782
7/27/2017 0:00,45642
7/28/2017 0:00,42977
7/29/2017 0:00,44938
7/30/2017 0:00,44341
7/31/2017 0:00,43001
8/1/2017 0:00,44625
8/2/2017 0:00,43815
8/3/2017 0:00,43416
8/4/2017 0:00,42986
8/5/2017 0:00,46276
8/6/2017 0:00,45979
8/7/2017 0:00,42329
8/8/2017 0:00,43224
8/9/2017 0:00,41609
8/10/2017 0:00,45223
8/11/2017 0:00,45045
8/12/2017 0:00,47407
8/13/2017 0:00,47100
8/14/2017 0:00,44519
8/15/2017 0:00,46707
8/16/2017 0:00,45407
8/17/2017 0:00,45989
8/18/2017 0:00,46772
8/19/2017 0:00,49317
8/20/2017 0:00,52824
8/21/2017 0:00,44338
8/22/2017 0:00,45610
8/23/2017 0:00,48113
8/24/2017 0:00,46362
8/25/2017 0:00,61243
8/26/2017 0:00,71400
8/27/2017 0:00,73864
8/28/2017 0:00,56503
8/29/2017 0:00,56919
8/30/2017 0:00,52762
8/31/2017 0:00,50562
9/1/2017 0:00,55089
9/2/2017 0:00,60044
9/3/2017 0:00,56966
9/4/2017 0:00,50387
9/5/2017 0:00,49224
9/6/2017 0:00,61969
9/7/2017 0:00,60038
9/8/2017 0:00,63409
9/9/2017 0:00,70963
9/10/2017 0:00,67816
9/11/2017 0:00,51417
9/12/2017 0:00,54074
9/13/2017 0:00,56361
9/14/2017 0:00,52066
9/15/2017 0:00,63555
9/16/2017 0:00,67376
9/17/2017 0:00,62374
9/18/2017 0:00,45734
9/19/2017 0:00,44249
9/20/2017 0:00,50664
9/21/2017 0:00,48481
9/22/2017 0:00,53989
9/23/2017 0:00,62385
9/24/2017 0:00,60212
9/25/2017 0:00,42692
9/26/2017 0:00,42612
9/27/2017 0:00,45246
9/28/2017 0:00,41854
9/29/2017 0:00,51542
9/30/2017 0:00,62054
10/1/2017 0:00,57167
10/2/2017 0:00,49812
10/3/2017 0:00,52916
10/4/2017 0:00,46581
10/5/2017 0:00,48899
10/6/2017 0:00,51618
10/7/2017 0:00,60052
10/8/2017 0:00,54896
10/9/2017 0:00,42914
10/10/2017 0:00,41356
10/11/2017 0:00,40974
10/12/2017 0:00,40959
10/13/2017 0:00,47892
10/14/2017 0:00,54539
10/15/2017 0:00,49446
10/16/2017 0:00,37049
10/17/2017 0:00,40572
10/18/2017 0:00,38731
10/19/2017 0:00,37556
10/20/2017 0:00,47256
10/21/2017 0:00,55693
10/22/2017 0:00,49840
10/23/2017 0:00,39817
10/24/2017 0:00,37477
10/25/2017 0:00,39835
10/26/2017 0:00,39820
10/27/2017 0:00,49336
10/28/2017 0:00,54731
10/29/2017 0:00,49101
10/30/2017 0:00,39094
10/31/2017 0:00,40934
11/1/2017 0:00,41172
11/2/2017 0:00,41726
11/3/2017 0:00,49120
11/4/2017 0:00,53742
11/5/2017 0:00,49633
11/6/2017 0:00,35734
11/7/2017 0:00,37155
11/8/2017 0:00,35528
11/9/2017 0:00,34556
11/10/2017 0:00,46161
11/11/2017 0:00,52214
11/12/2017 0:00,46899
11/13/2017 0:00,34239
11/14/2017 0:00,34916
11/15/2017 0:00,34548
11/16/2017 0:00,36732
11/17/2017 0:00,63909
11/18/2017 0:00,93584
11/19/2017 0:00,96599
11/20/2017 0:00,73222
11/21/2017 0:00,71280
11/22/2017 0:00,71467
11/23/2017 0:00,69509
11/24/2017 0:00,84895
11/25/2017 0:00,99655
11/26/2017 0:00,95402
11/27/2017 0:00,74808
11/28/2017 0:00,75123
11/29/2017 0:00,79865
11/30/2017 0:00,74824
12/1/2017 0:00,89333
12/2/2017 0:00,98992
12/3/2017 0:00,91042
12/4/2017 0:00,69839
12/5/2017 0:00,70620
12/6/2017 0:00,85261
12/7/2017 0:00,82604
12/8/2017 0:00,90701
12/9/2017 0:00,100845
12/10/2017 0:00,93341
12/11/2017 0:00,70966
12/12/2017 0:00,68414
12/13/2017 0:00,73472
12/14/2017 0:00,61218
12/15/2017 0:00,81503
12/16/2017 0:00,95518
12/17/2017 0:00,82371
12/18/2017 0:00,68898
12/19/2017 0:00,72470
12/20/2017 0:00,76339
12/21/2017 0:00,80476
12/22/2017 0:00,88812
12/23/2017 0:00,92471
12/24/2017 0:00,84658
12/25/2017 0:00,77995
12/26/2017 0:00,86983
12/27/2017 0:00,92090
12/28/2017 0:00,92155
12/29/2017 0:00,96539
12/30/2017 0:00,99035
12/31/2017 0:00,95477
1/1/2018 0:00,87474
1/2/2018 0:00,90574
1/3/2018 0:00,88547
1/4/2018 0:00,92955
1/5/2018 0:00,102587
1/6/2018 0:00,109318
1/7/2018 0:00,102226
1/8/2018 0:00,80542
1/9/2018 0:00,78834
1/10/2018 0:00,80999
1/11/2018 0:00,79497
1/12/2018 0:00,91391
1/13/2018 0:00,107452
1/14/2018 0:00,97520
1/15/2018 0:00,79231
1/16/2018 0:00,77053
1/17/2018 0:00,79287
1/18/2018 0:00,79366
1/19/2018 0:00,88238
1/20/2018 0:00,100428
1/21/2018 0:00,94972
1/22/2018 0:00,85102
1/23/2018 0:00,71072
1/24/2018 0:00,82543
1/25/2018 0:00,82954
1/26/2018 0:00,85414
1/27/2018 0:00,96554
1/28/2018 0:00,95701
1/29/2018 0:00,74595
1/30/2018 0:00,80850
1/31/2018 0:00,77290
2/1/2018 0:00,80086
2/2/2018 0:00,89437
2/3/2018 0:00,99612
2/4/2018 0:00,99184
2/5/2018 0:00,77394
2/6/2018 0:00,79990
2/7/2018 0:00,85371
2/8/2018 0:00,81674
2/9/2018 0:00,88099
2/10/2018 0:00,98058
2/11/2018 0:00,99128
2/12/2018 0:00,82961
2/13/2018 0:00,82384
2/14/2018 0:00,76498
2/15/2018 0:00,83156
2/16/2018 0:00,97797
2/17/2018 0:00,116140
2/18/2018 0:00,125454
2/19/2018 0:00,99430
2/20/2018 0:00,96798
2/21/2018 0:00,96344
2/22/2018 0:00,94184
2/23/2018 0:00,110336
2/24/2018 0:00,121054
2/25/2018 0:00,119290
2/26/2018 0:00,97181
2/27/2018 0:00,100533
2/28/2018 0:00,103176
3/1/2018 0:00,106002
3/2/2018 0:00,119563
3/3/2018 0:00,133106
3/4/2018 0:00,123702
3/5/2018 0:00,101042
3/6/2018 0:00,117007
3/7/2018 0:00,176784
3/8/2018 0:00,153274
3/9/2018 0:00,162181
3/10/2018 0:00,178953
3/11/2018 0:00,161990
3/12/2018 0:00,123333
3/13/2018 0:00,123552
3/14/2018 0:00,110788
3/15/2018 0:00,118957
3/16/2018 0:00,138714
3/17/2018 0:00,152188
3/18/2018 0:00,139913
3/19/2018 0:00,92766
3/20/2018 0:00,100055
3/21/2018 0:00,113768
3/22/2018 0:00,107697
3/23/2018 0:00,127072
3/24/2018 0:00,144311
3/25/2018 0:00,143612
3/26/2018 0:00,113769
3/27/2018 0:00,112499
3/28/2018 0:00,114548
3/29/2018 0:00,114748
3/30/2018 0:00,130504
3/31/2018 0:00,131928
4/1/2018 0:00,116954
4/2/2018 0:00,112092
4/3/2018 0:00,106402
4/4/2018 0:00,115611
4/5/2018 0:00,111211
4/6/2018 0:00,113381
4/7/2018 0:00,114997
4/8/2018 0:00,111651
4/9/2018 0:00,97062
4/10/2018 0:00,99065
4/11/2018 0:00,99836
4/12/2018 0:00,103153
4/13/2018 0:00,116529
4/14/2018 0:00,125070
4/15/2018 0:00,115606
4/16/2018 0:00,98763
4/17/2018 0:00,100741
4/18/2018 0:00,102921
4/19/2018 0:00,99486
4/20/2018 0:00,114101
4/21/2018 0:00,122786
4/22/2018 0:00,109659
4/23/2018 0:00,94883
4/24/2018 0:00,95809
4/25/2018 0:00,94304
4/26/2018 0:00,94136
4/27/2018 0:00,104382
4/28/2018 0:00,114224
4/29/2018 0:00,111034
4/30/2018 0:00,104954
5/1/2018 0:00,101234
5/2/2018 0:00,95123
5/3/2018 0:00,92726
5/4/2018 0:00,114267
5/5/2018 0:00,115247
5/6/2018 0:00,105536
5/7/2018 0:00,90823
5/8/2018 0:00,94746
5/9/2018 0:00,95171
5/10/2018 0:00,95557
5/11/2018 0:00,103776
5/12/2018 0:00,112276
5/13/2018 0:00,102137
5/14/2018 0:00,91782
5/15/2018 0:00,87907
5/16/2018 0:00,88788
5/17/2018 0:00,90882
5/18/2018 0:00,121151
5/19/2018 0:00,142308
5/20/2018 0:00,132135
5/21/2018 0:00,126584
5/22/2018 0:00,119771
5/23/2018 0:00,111129
5/24/2018 0:00,88049
5/25/2018 0:00,124443
5/26/2018 0:00,128728
5/27/2018 0:00,116412
5/28/2018 0:00,94252
5/29/2018 0:00,102977
5/30/2018 0:00,102086
5/31/2018 0:00,100383
6/1/2018 0:00,112414
6/2/2018 0:00,118663
6/3/2018 0:00,109559
6/4/2018 0:00,95674
6/5/2018 0:00,100292
6/6/2018 0:00,99107
6/7/2018 0:00,113277
6/8/2018 0:00,143183
6/9/2018 0:00,138078
6/10/2018 0:00,126963
6/11/2018 0:00,107252
6/12/2018 0:00,107971
6/13/2018 0:00,103912
6/14/2018 0:00,105130
6/15/2018 0:00,108109
6/16/2018 0:00,107182
6/17/2018 0:00,110746
6/18/2018 0:00,94083
6/19/2018 0:00,95176
6/20/2018 0:00,84967
6/21/2018 0:00,96030
6/22/2018 0:00,102882
6/23/2018 0:00,104886
6/24/2018 0:00,102018
6/25/2018 0:00,92010
6/26/2018 0:00,94587
6/27/2018 0:00,96400
6/28/2018 0:00,91241
6/29/2018 0:00,92605
6/30/2018 0:00,97915
7/1/2018 0:00,95867
7/2/2018 0:00,90938
7/3/2018 0:00,94167
7/4/2018 0:00,101689
7/5/2018 0:00,101223
7/6/2018 0:00,105094
7/7/2018 0:00,107758
7/8/2018 0:00,103735
7/9/2018 0:00,100118
7/10/2018 0:00,103368
7/11/2018 0:00,104640
7/12/2018 0:00,101519
7/13/2018 0:00,105175
7/14/2018 0:00,103839
7/15/2018 0:00,105208
7/16/2018 0:00,102451
7/17/2018 0:00,110262
7/18/2018 0:00,115114
7/19/2018 0:00,109919
7/20/2018 0:00,112900
7/21/2018 0:00,114890
7/22/2018 0:00,117024
7/23/2018 0:00,101733
7/24/2018 0:00,103414
7/25/2018 0:00,101492
7/26/2018 0:00,99899
7/27/2018 0:00,99937
7/28/2018 0:00,100351
7/29/2018 0:00,100890
7/30/2018 0:00,98632
7/31/2018 0:00,97898
8/1/2018 0:00,98429
8/2/2018 0:00,98668
8/3/2018 0:00,99352
8/4/2018 0:00,101525
8/5/2018 0:00,104660
8/6/2018 0:00,101685
8/7/2018 0:00,102510
8/8/2018 0:00,103377
8/9/2018 0:00,99770
8/10/2018 0:00,92390
8/11/2018 0:00,95825
8/12/2018 0:00,96412
8/13/2018 0:00,94901
8/14/2018 0:00,98694
8/15/2018 0:00,96687
8/16/2018 0:00,95486
8/17/2018 0:00,115832
8/18/2018 0:00,130546
8/19/2018 0:00,135451
8/20/2018 0:00,130937
8/21/2018 0:00,115763
8/22/2018 0:00,127904
8/23/2018 0:00,117509
8/24/2018 0:00,119387
8/25/2018 0:00,125197
8/26/2018 0:00,123400
8/27/2018 0:00,112769
8/28/2018 0:00,113633
8/29/2018 0:00,111728
8/30/2018 0:00,109767
8/31/2018 0:00,116400
9/1/2018 0:00,120196
9/2/2018 0:00,114438
9/3/2018 0:00,103969
9/4/2018 0:00,100068
9/5/2018 0:00,131179
9/6/2018 0:00,115465
9/7/2018 0:00,132514
9/8/2018 0:00,143730
9/9/2018 0:00,133116
9/10/2018 0:00,106701
9/11/2018 0:00,115973
9/12/2018 0:00,109740
9/13/2018 0:00,102976
9/14/2018 0:00,121226
9/15/2018 0:00,135045
9/16/2018 0:00,125152
9/17/2018 0:00,96234
9/18/2018 0:00,84296
9/19/2018 0:00,92501
9/20/2018 0:00,94771
9/21/2018 0:00,111938
9/22/2018 0:00,124402
9/23/2018 0:00,126777
9/24/2018 0:00,93336
9/25/2018 0:00,96011
9/26/2018 0:00,98224
9/27/2018 0:00,93838
9/28/2018 0:00,104731
9/29/2018 0:00,120925
9/30/2018 0:00,128742
10/1/2018 0:00,89811
10/2/2018 0:00,103859
10/3/2018 0:00,103513
10/4/2018 0:00,97084
10/5/2018 0:00,106187
10/6/2018 0:00,123540
10/7/2018 0:00,114832
10/8/2018 0:00,93751
10/9/2018 0:00,91079
10/10/2018 0:00,88462
10/11/2018 0:00,86674
10/12/2018 0:00,104687
10/13/2018 0:00,116878
10/14/2018 0:00,105244
10/15/2018 0:00,81899
10/16/2018 0:00,82457
10/17/2018 0:00,83135
10/18/2018 0:00,74790
10/19/2018 0:00,98100
10/20/2018 0:00,110389
10/21/2018 0:00,98350
10/22/2018 0:00,78477
10/23/2018 0:00,80593
10/24/2018 0:00,81915
10/25/2018 0:00,85027
10/26/2018 0:00,119919
10/27/2018 0:00,123993
10/28/2018 0:00,109146
10/29/2018 0:00,86014
10/30/2018 0:00,83350
10/31/2018 0:00,81973
11/1/2018 0:00,83860
11/2/2018 0:00,92803
11/3/2018 0:00,98551
11/4/2018 0:00,88432
11/5/2018 0:00,67888
11/6/2018 0:00,69185
11/7/2018 0:00,69112
11/8/2018 0:00,68480
11/9/2018 0:00,81381
11/10/2018 0:00,95421
11/11/2018 0:00,87034
11/12/2018 0:00,67068
11/13/2018 0:00,69018
11/14/2018 0:00,63082
11/15/2018 0:00,69210
11/16/2018 0:00,93847
11/17/2018 0:00,114655
11/18/2018 0:00,113514
11/19/2018 0:00,86188
11/20/2018 0:00,88439
11/21/2018 0:00,88184
11/22/2018 0:00,87101
11/23/2018 0:00,100470
11/24/2018 0:00,115938
11/25/2018 0:00,106763
11/26/2018 0:00,80694
11/27/2018 0:00,84153
11/28/2018 0:00,77417
11/29/2018 0:00,83117
11/30/2018 0:00,98156
12/1/2018 0:00,118926
12/2/2018 0:00,109578
12/3/2018 0:00,81308
12/4/2018 0:00,74274
12/5/2018 0:00,105418
12/6/2018 0:00,98490
12/7/2018 0:00,109276
12/8/2018 0:00,121731
12/9/2018 0:00,111757
12/10/2018 0:00,86727
12/11/2018 0:00,86450
12/12/2018 0:00,87966
12/13/2018 0:00,87333
12/14/2018 0:00,101520
12/15/2018 0:00,114102
12/16/2018 0:00,104805
12/17/2018 0:00,76609
12/18/2018 0:00,83902
12/19/2018 0:00,85647
12/20/2018 0:00,85425
12/21/2018 0:00,104888
12/22/2018 0:00,113148
12/23/2018 0:00,106929
12/24/2018 0:00,99220
12/25/2018 0:00,113159
12/26/2018 0:00,116734
12/27/2018 0:00,113423
12/28/2018 0:00,120624
12/29/2018 0:00,130554
12/30/2018 0:00,128939
12/31/2018 0:00,121531
1/1/2019 0:00,115245
1/2/2019 0:00,116029
1/3/2019 0:00,116388
1/4/2019 0:00,131544
1/5/2019 0:00,137631
1/6/2019 0:00,125619
1/7/2019 0:00,101320
1/8/2019 0:00,100987
1/9/2019 0:00,100656
1/10/2019 0:00,98973
1/11/2019 0:00,113337
1/12/2019 0:00,127994
1/13/2019 0:00,121317
1/14/2019 0:00,96645
1/15/2019 0:00,96971
1/16/2019 0:00,97432
1/17/2019 0:00,97225
1/18/2019 0:00,108348
1/19/2019 0:00,122974
1/20/2019 0:00,120265
1/21/2019 0:00,97265
1/22/2019 0:00,99868
1/23/2019 0:00,102869
1/24/2019 0:00,98843
1/25/2019 0:00,105246
1/26/2019 0:00,137626
1/27/2019 0:00,135617
1/28/2019 0:00,106544
1/29/2019 0:00,98161
1/30/2019 0:00,101967
1/31/2019 0:00,99800
2/1/2019 0:00,106006
2/2/2019 0:00,124735
2/3/2019 0:00,122361
2/4/2019 0:00,89903
2/5/2019 0:00,80569
2/6/2019 0:00,92929
2/7/2019 0:00,90643
2/8/2019 0:00,99168
2/9/2019 0:00,122695
2/10/2019 0:00,123491
2/11/2019 0:00,96816
2/12/2019 0:00,97120
2/13/2019 0:00,101698
2/14/2019 0:00,96657
2/15/2019 0:00,112135
2/16/2019 0:00,136018
2/17/2019 0:00,133484
2/18/2019 0:00,113379
2/19/2019 0:00,95780
2/20/2019 0:00,101282
2/21/2019 0:00,105026
2/22/2019 0:00,107033
2/23/2019 0:00,119952
2/24/2019 0:00,111072
2/25/2019 0:00,86104
2/26/2019 0:00,88210
2/27/2019 0:00,89807
2/28/2019 0:00,89016
3/1/2019 0:00,102883
3/2/2019 0:00,117069
3/3/2019 0:00,105643
3/4/2019 0:00,87016
3/5/2019 0:00,89120
3/6/2019 0:00,78409
3/7/2019 0:00,98248
3/8/2019 0:00,115527
3/9/2019 0:00,135746
3/10/2019 0:00,126920
3/11/2019 0:00,93672
3/12/2019 0:00,93920
3/13/2019 0:00,96744
3/14/2019 0:00,95901
3/15/2019 0:00,114283
3/16/2019 0:00,133761
3/17/2019 0:00,122489
3/18/2019 0:00,92189
3/19/2019 0:00,83090
3/20/2019 0:00,93383
3/21/2019 0:00,91957
3/22/2019 0:00,108552
3/23/2019 0:00,125685
3/24/2019 0:00,114778
3/25/2019 0:00,86630
3/26/2019 0:00,86274
3/27/2019 0:00,90225
3/28/2019 0:00,87571
3/29/2019 0:00,105415
3/30/2019 0:00,118175
3/31/2019 0:00,108717
4/1/2019 0:00,102820
4/2/2019 0:00,114371
4/3/2019 0:00,108096
